,id,title,release_date,genres,original_language,vote_average,vote_count,popularity,overview,budget,production_companies,revenue,runtime,tagline,release_year,release_month
5625,11637,Are We There Yet?,2005-01-20,"['Family', 'Adventure', 'Comedy', 'Romance']",English,5.6,860,16.054,"The fledgling romance between Nick, a playboy bachelor, and Suzanne, a divorced mother of two, is threatened by a particularly harrowing New Years Eve. When Suzanne's work keeps her in Vancouver for the holiday, Nick offers to bring her kids to the city from Portland, Oregon. The kids, who have never liked any of the men their mom dates, are determined to turn the trip into a nightmare for Nick.",32000000,"['Revolution Studios', 'Cube Vision', 'Columbia Pictures']",97918663,95,24 hours. 350 miles. His girlfriend's kids. What could possibly go wrong?,2005,01
5626,107985,The World's End,2013-07-18,"['Comedy', 'Action', 'Science Fiction']",English,6.8,4830,14.305,Five friends who reunite in an attempt to top their epic pub crawl from 20 years earlier unwittingly become humankind's only hope for survival.,20000000,"['Big Talk Productions', 'Working Title Films']",46089287,109,Good food. Fine ales. Total Annihilation.,2013,07
5627,11000,The Birdcage,1996-03-08,['Comedy'],English,7.0,963,13.051,A gay cabaret owner and his drag queen companion agree to put up a false straight front so that their son can introduce them to his fiancé's conservative moralistic parents.,31000000,['United Artists'],185260553,117,Come as you are.,1996,03
5628,497814,Breaking In,2018-05-05,"['Thriller', 'Crime', 'Action']",English,6.0,599,11.56,"Shaun Russell takes her son and daughter on a weekend getaway to her late father's secluded, high-tech vacation home in the countryside. The family soon gets an unwelcome surprise when four men break into the house to find hidden money. After managing to escape, Shaun must now figure out a way to turn the tables on the desperate thieves and save her captive children.",6000000,"['Will Packer Productions', 'Breaking In Pictures']",49078000,88,Payback is a mother.,2018,05
5629,2323,Field of Dreams,1989-04-21,"['Drama', 'Fantasy', 'Comedy']",English,7.1,1255,16.8,"Ray Kinsella is an Iowa farmer who hears a mysterious voice telling him to turn his cornfield into a baseball diamond. He does, but the voice's directions don't stop -- even after the spirits of deceased ballplayers turn up to play.",15000000,['Universal Pictures'],84431625,107,"If you build it, he will come.",1989,04
5632,11814,Weird Science,1985-08-01,"['Comedy', 'Romance', 'Science Fiction']",English,6.5,1198,15.55,"Two unpopular teenagers, Gary and Wyatt, fail at all attempts to be accepted by their peers. Their desperation to be liked leads them to ""create"" a woman via their computer. Their living and breathing creation is a gorgeous woman, Lisa, whose purpose is to boost their confidence level by putting them into situations which require Gary and Wyatt to act like men.",7500000,['Universal Pictures'],38934048,94,"If you can't get a date, make one!",1985,08
5637,59,A History of Violence,2005-09-23,"['Drama', 'Thriller', 'Crime']",English,7.2,2798,14.801,An average family is thrust into the spotlight after the father commits a seemingly self-defense murder at his diner.,32000000,"['New Line Cinema', 'BenderSpink']",60740827,96,Tom Stall had the perfect life … until he became a hero.,2005,09
5644,76494,What to Expect When You're Expecting,2012-05-17,"['Romance', 'Comedy', 'Drama']",English,6.0,1668,16.498,"Challenges of impending parenthood turn the lives of five couples upside down. Two celebrities are unprepared for the surprise demands of pregnancy; hormones wreak havoc on a baby-crazy author, while her husband tries not to be outdone by his father, who's expecting twins with his young trophy wife; a photographer's husband isn't sure about his wife's adoption plans; a one-time hook-up results in a surprise pregnancy for rival food-truck owners.",40000000,"['Lionsgate', 'Alcon Entertainment', 'Phoenix Pictures', 'What to Expect Productions']",79700000,110,It's too late to pull out now.,2012,05
5650,4588,"Lust, Caution",2007-09-27,"['Action', 'Drama', 'Romance', 'Thriller']",Chinese,7.2,568,18.296,"During World War II, a secret agent must seduce then assassinate an official who works for the Japanese puppet government in Shanghai. Her mission becomes clouded when she finds herself falling in love with the man she is assigned to kill.",15000000,"['River Road Entertainment', 'Haishang Films', 'Focus Features', 'Sil-Metropole Organisation', 'Shanghai Film Group']",67091915,158,"To kill the enemy, she would have to capture his heart... and break her own.",2007,09
5651,1705,Battle for the Planet of the Apes,1973-06-15,"['Action', 'Science Fiction']",English,5.7,762,14.794,"The fifth and final episode in the Planet of the Apes series. After the collapse of human civilization, a community of intelligent apes led by Caesar lives in harmony with a group of humans. Gorilla General Aldo tries to cause an ape civil war and a community of human mutants who live beneath a destroyed city try to conquer those whom they perceive as enemies. All leading to the finale.",1700000,"['Apjac International', '20th Century Fox']",8844595,93,The final chapter in the incredible Apes saga. The most suspenseful showdown ever filmed as two civilizations battle for the right to inherit what's left of the earth!,1973,06
5652,211954,Instructions Not Included,2013-07-20,"['Comedy', 'Drama']",Spanish,7.7,783,15.798,"Valentin is Acapulco's resident playboy, until a former fling leaves a baby on his doorstep and him heading with her out of Mexico.",5500000,"['Pantelion Films', 'Filmax', 'Pinema', 'Televisa']",99067206,122,Life doesn't care if you're ready.,2013,07
5653,556984,The Trial of the Chicago 7,2020-09-25,"['Drama', 'History']",English,7.7,2656,20.162,What was supposed to be a peaceful protest turned into a violent clash with the police. What followed was one of the most notorious trials in history.,35000000,"['DreamWorks Pictures', 'Marc Platt Productions']",107423,130,"In 1968, democracy refused to back down.",2020,09
5655,11954,Lifeforce,1985-06-21,"['Horror', 'Science Fiction', 'Thriller']",English,6.3,478,15.793,A space shuttle mission investigating Halley's Comet brings back a malevolent race of space vampires who transform most of London's population into zombies. The only survivor of the expedition and British authorities attempt to capture a mysterious but beautiful alien woman who appears responsible.,25000000,"['Golan-Globus Productions', 'Easedram', 'London-Cannon Films', 'Cannon Group', 'TriStar Pictures']",11603545,102,"In the Blink of An Eye, the Terror Begins.",1985,06
5657,20178,World's Greatest Dad,2009-08-20,"['Comedy', 'Romance', 'Drama']",English,6.6,515,14.295,"In the wake of a freak accident, Lance suffers the worst tragedy and the greatest opportunity of his life. He is suddenly faced with the possibility of fame, fortune and popularity, if he can only live with the knowledge of how he got there.",10000000,"['Magnolia Pictures', 'Jerkschool Productions']",295750,99,Lance Clayton is about to get everything he deserves.,2009,08
5660,24100,The Little Vampire,2000-10-27,"['Family', 'Adventure', 'Comedy', 'Fantasy']",English,6.8,357,12.792,"Based on the popular books, the story tells of Tony who wants a friend to add some adventure to his life. What he gets is Rudolph, a vampire kid with a good appetite. The two end up inseparable, but their fun is cut short when all the hopes of the vampire race could be gone forever in single night. With Tony's access to the daytime world, he helps them to find what they've always wanted.",35000000,['New Line Cinema'],27965865,95,"They're not just best friends, they're blood brothers.",2000,10
5661,41515,Yogi Bear,2010-12-17,"['Comedy', 'Family', 'Animation', 'Adventure']",English,5.6,777,15.544,"A documentary filmmaker travels to Jellystone Park to shoot a project and soon crosses paths with Yogi Bear, his sidekick Boo-Boo, and Ranger Smith.",80000000,"['Sunswept Entertainment', 'De Line Pictures', 'Rhythm and Hues', 'Picnic Basket', 'Warner Bros. Pictures']",203509374,80,Please do not feed the bears.,2010,12
5662,24253,The Girl Who Played with Fire,2009-09-18,"['Drama', 'Action', 'Thriller', 'Crime', 'Mystery']",Swedish,7.0,1472,14.293,"Mikael Blomkvist, publisher of Millennium magazine, has made his living exposing the crooked and corrupt practices of establishment Swedish figures. So when a young journalist approaches him with a meticulously researched thesis about sex trafficking in Sweden and those in high office who abuse underage girls, Blomkvist immediately throws himself into the investigation.",4422952,"['Nordisk Film Denmark', 'ZDF', 'Film Capital Stockholm', 'Spiltan Underhållning', 'Svenska Filminstitutet', 'SVT', 'Film i Väst']",67126795,130,Fight Fire with Fire,2009,09
5664,824,Moulin Rouge!,2001-05-24,"['Drama', 'Romance', 'Music']",English,7.6,4109,13.792,"A celebration of love and creative inspiration takes place in the infamous, gaudy and glamorous Parisian nightclub, at the cusp of the 20th century. A young poet, who is plunged into the heady world of Moulin Rouge, begins a passionate affair with the club's most notorious and beautiful star.",52500000,"['20th Century Fox', 'Bazmark Films']",179213434,128,No Laws. No Limits. One Rule. Never Fall In Love.,2001,05
5665,157547,Oculus,2013-09-08,['Horror'],English,6.4,2642,17.044,A woman tries to exonerate her brother's murder conviction by proving that the crime was committed by a supernatural phenomenon.,5000000,"['MICA Entertainment', 'Intrepid Pictures', 'Blumhouse Productions', 'WWE Studios', 'Lasser Productions']",44459951,104,You see what it wants you to see.,2013,09
5666,9884,Collateral Damage,2002-02-06,"['Action', 'Thriller', 'Drama']",English,5.7,1210,11.791,Firefighter Gordon Brewer is plunged into the complex and dangerous world of international terrorism after he loses his wife and child in a bombing credited to Claudio 'The Wolf' Perrini.,85000000,"['David Foster Productions', 'Hacienda Productions', 'Bel Air Entertainment', 'Warner Bros. Pictures']",78382433,108,What would you do if you lost everything?,2002,02
5668,2789,The Chronicles of Riddick,2004-06-11,"['Action', 'Science Fiction']",English,6.5,3592,10.156,"After years of outrunning ruthless bounty hunters, escaped convict Riddick suddenly finds himself caught between opposing forces in a fight for the future of the human race. Now, waging incredible battles on fantastic and deadly worlds, this lone, reluctant hero will emerge as humanity's champion - and the last hope for a universe on the edge of annihilation.",105000000,"['Radar Pictures', 'One Race', 'Primal Foe Productions']",115772733,119,All the power in the universe can't change destiny,2004,06
5669,256962,Little Boy,2015-04-23,"['Comedy', 'Drama', 'War']",English,7.2,483,12.044,An eight-year-old boy is willing to do whatever it takes to end World War II so he can bring his father home. The story reveals the indescribable love a father has for his little boy and the love a son has for his father.,20000000,"['Santa Fé Films', 'Metanoia Films']",6485961,106,Believe the impossible.,2015,04
5670,9799,The Fast and the Furious,2001-06-22,"['Action', 'Crime', 'Thriller']",English,6.9,8850,13.935,"Dominic Toretto is a Los Angeles street racer suspected of masterminding a series of big-rig hijackings. When undercover cop Brian O'Conner infiltrates Toretto's iconoclastic crew, he falls for Toretto's sister and must choose a side: the gang or the LAPD.",38000000,"['Ardustry Entertainment', 'Universal Pictures', 'Original Film', 'Mediastream Film GmbH & Co. Productions KG']",207283925,106,Live life 1/4 mile at a time.,2001,06
5671,468224,Tolkien,2019-05-03,"['War', 'Drama', 'Romance']",English,7.0,1238,18.75,"England, early 20th century. The future writer and philologist John Ronald Reuel Tolkien (1892-1973) and three of his schoolmates create a strong bond between them as they share the same passion for literature and art, a true fellowship that strengthens as they grow up, but the outbreak of World War I threatens to shatter it.",20000000,"['Fox Searchlight Pictures', 'TSG Entertainment', 'Chernin Entertainment']",8654322,112,"A Life of Love, Courage & Fellowship.",2019,05
5674,144,Wings of Desire,1987-05-17,"['Drama', 'Fantasy', 'Romance']",German,7.8,1086,15.037,"Two angels, Damiel and Cassiel, glide through the streets of Berlin, observing the bustling population, providing invisible rays of hope to the distressed but never interacting with them. When Damiel falls in love with lonely trapeze artist Marion, the angel longs to experience life in the physical world, and finds -- with some words of wisdom from actor Peter Falk -- that it might be possible for him to take human form.",2500000,"['Argos Films', 'Wim Wenders Stiftung', 'WDR', 'Road Movies']",3210139,128,There are angels on the streets of Berlin.,1987,05
5675,376660,The Edge of Seventeen,2016-11-18,"['Comedy', 'Drama']",English,7.2,3753,16.294,"Two high school girls are best friends until one dates the other's older brother, who is totally his sister's nemesis.",9000000,"['Tang Media Productions', 'Gracie Films', 'STX Entertainment', 'Huayi Brothers Pictures']",18803648,105,You're only young once… is it over yet?,2016,11
5678,11087,The Hand that Rocks the Cradle,1992-01-10,"['Drama', 'Thriller']",English,6.9,775,17.537,"A suburban family chooses seemingly sweet Peyton Flanders as their newborn's nanny. Only much later does the infant's mother, Claire Bartel, realize Peyton's true intentions -- to destroy Claire and replace her in the family. The nail-biting suspense builds quickly in this chilling psychological thriller about deception and bitter revenge.",11700000,"['Hollywood Pictures', 'Interscope Communications', 'Nomura Babcock & Brown']",88036683,110,Trust is her weapon. Innocence her opportunity. Revenge her only desire.,1992,01
5679,338766,Hell or High Water,2016-08-11,"['Western', 'Crime', 'Drama', 'Thriller']",English,7.3,4020,16.443,A divorced dad and his ex-con brother resort to a desperate scheme in order to save their family's farm in West Texas.,12000000,"['Sidney Kimmel Entertainment', 'Film 44', 'OddLot Entertainment', 'Estrella Media', 'Lionsgate', 'CBS Films']",37589296,102,Blood always follows money.,2016,08
5683,6961,The Wedding Date,2005-02-04,"['Comedy', 'Romance']",English,6.8,1056,14.037,"With the wedding of her younger sister fast approaching, Kat Ellis faces the undesirable prospect of traveling alone to London for the ceremony. While this is bad enough, Jeffrey, the man who left her as they moved closer to marriage, happens to be the groom's best man. Determined to show everyone -- most of all Jeffrey -- that her romantic life is as full and thrilling as ever, Kat hires a charming male escort as her date.",15000000,"['Visionview Production', 'Gold Circle Films', '26 Films', 'Universal Pictures', 'Senator International']",47175038,88,Love doesn't come cheap.,2005,02
5690,12919,Can't Buy Me Love,1987-08-14,"['Drama', 'Comedy', 'Romance']",English,7.0,581,15.784,"Nerdy high schooler Ronald Miller rescues cheerleader Cindy Mancini from parental punishment after she accidentally destroys her mother's designer clothes. Ronald agrees to pay for the $1,000 outfit on one condition: that she will act as though they're a couple for an entire month. As the days pass, however, Cindy grows fond of Ronald, making him popular. But when Ronald's former best friend gets left behind, he realizes that social success isn't everything.",1800000,"['Silver Screen Partners II', 'Apollo Pictures', 'Touchstone Pictures', 'The Mount Company']",31623833,94,Ronald is making an investment in his senior year. He's hiring the prettiest cheerleader in school to be his girlfriend.,1987,08
5696,293768,Kidnap,2017-06-16,"['Drama', 'Thriller']",English,6.2,1190,16.539,A mother (in her Minivan) stops at nothing to recover her kidnapped son.,21000000,"['Ingenious Media', 'di Bonaventura Pictures', 'Gold Star Films', 'Lotus Entertainment', '606 Films', 'Well Go USA Entertainment', 'Rumble Entertainment']",30718107,95,Vengeance is Mom,2017,06
5701,22971,Dear John,2010-02-04,"['Drama', 'Romance', 'War']",English,6.8,3853,21.733,"While Sergeant John Tyree is home on two weeks leave from Germany, he meets Savannah after he dives into the ocean to retrieve Savannah's purse that had fallen off a pier. John eventually falls in love with Savannah, who promises to write to him until he returns from overseas.",25000000,"['Screen Gems', 'Relativity Media', 'Mandate International', 'Temple Hill Entertainment']",114977104,108,Love brought them together. Will fate tear them apart?,2010,02
5702,11006,Smokey and the Bandit,1977-05-26,"['Action', 'Adventure', 'Comedy']",English,6.9,608,16.028,"A race car driver tries to transport an illegal beer shipment from Texas to Atlanta in under 28 hours, picking up a reluctant bride-to-be on the way.",4300000,['Universal Pictures'],126737428,96,What we have here is a total lack of respect for the law!,1977,05
5703,12142,Alone in the Dark,2005-01-28,"['Action', 'Fantasy', 'Horror']",English,3.3,522,12.779,"Edward Carnby is a private investigator specializing in unexplainable supernatural phenomena. His cases delve into the dark corners of the world, searching for truth in the occult remnants of ancient civilizations. Now, the greatest mystery of his past is about to become the most dangerous case he has ever faced.",20000000,"['Boll Kino Beteiligungs GmbH & Co. KG', 'Brightlight Pictures', 'Herold Productions', 'Infogrames Entertainment', 'AITD Productions']",12693645,98,Can mankind defeat the army of darkness unleashed by an ancient evil cult?,2005,01
5705,1955,The Elephant Man,1980-10-09,"['Drama', 'History']",English,8.1,3015,17.528,"A Victorian surgeon rescues a heavily disfigured man being mistreated by his ""owner"" as a side-show freak. Behind his monstrous façade, there is revealed a person of great intelligence and sensitivity. Based on the true story of Joseph Merrick (called John Merrick in the film), a severely deformed man in 19th century London.",5000000,"['Brooksfilms', 'Paramount']",26010864,124,I am not an animal! I am a human being! I … am … a man!,1980,10
5706,620725,Jexi,2019-10-10,['Comedy'],English,6.9,1046,15.29,"Phil's new phone comes with an unexpected feature, Jexi...an A.I. determined to keep him all to herself in a comedy about what can happen when you love your phone more than all else.",5000000,"['CBS Films', 'Team Todd', 'Sierra/Affinity', 'Lionsgate', 'Jexi Studios', 'Entertainment One']",9341824,84,She had him at “hello”,2019,10
5708,403300,A Hidden Life,2019-12-11,"['Drama', 'War', 'History']",English,7.2,548,16.844,Austrian farmer Franz Jägerstätter faces the threat of execution for refusing to fight for the Nazis during World War II.,9000000,"['Studio Babelsberg', 'Iris Productions', 'Fox Searchlight Pictures', 'Medienboard Berlin-Brandenburg', 'TSG Entertainment']",4612788,174,Based on true events.,2019,12
5709,115210,Stitches,2012-05-19,['Horror'],English,6.4,369,14.279,"The clumsy and unfunny clown Richard ""Stitches"" Grindle entertains at the 10th birthday party of little Tom, but the boy and his friends play a prank with Stitches, tying his shoelaces. Stitches slips, falls and dies. Six years later, Tom gives a birthday party for his friends at home, but Stitches revives to haunt the teenagers and revenge his death.",100000,"['MPI Media Group', 'Tailored Films', 'Fantastic Films', 'Screen Ireland', 'Solid Entertainment']",95000,86,You'll die laughing...,2012,05
5712,3035,Frankenstein,1931-11-19,"['Drama', 'Horror', 'Science Fiction']",English,7.5,1323,14.027,"Dr. Henry Frankenstein attempts to create life by assembling a creature from body parts of the deceased. Aided by his loyal misshapen assistant, Fritz, Frankenstein succeeds in animating his monster, but, confused and traumatized, it escapes into the countryside and begins to wreak havoc. Frankenstein searches for the elusive being and eventually must confront his tormented creation.",291000,['Universal Pictures'],12000000,70,The man who made a monster,1931,11
5713,9833,The Phantom of the Opera,2004-12-08,"['Thriller', 'Drama', 'Romance']",English,7.3,1431,21.476,"Deformed since birth, a bitter man known only as the Phantom lives in the sewers underneath the Paris Opera House. He falls in love with the obscure chorus singer Christine, and privately tutors her while terrorizing the rest of the opera house and demanding Christine be given lead roles.",70000000,"['Warner Bros. Pictures', 'Odyssey Entertainment', 'Scion Films', 'The Really Useful Group']",154648887,143,The classic musical comes to the big screen for the first time.,2004,12
5715,12208,Casino Royale,1967-04-13,"['Adventure', 'Action', 'Comedy']",English,5.3,620,16.526,"Sir James Bond is called back out of retirement to stop SMERSH. In order to trick SMERSH, James thinks up the ultimate plan - that every agent will be named 'James Bond'. One of the Bonds, whose real name is Evelyn Tremble is sent to take on Le Chiffre in a game of baccarat, but all the Bonds get more than they can handle.",12000000,"['Famous Artists Productions', 'Columbia Pictures']",41744718,131,Casino Royale is too much for one James Bond!,1967,04
5716,2110,Wasabi,2001-10-31,"['Drama', 'Action', 'Comedy']",French,6.6,1106,17.275,"Hubert is a French policeman with very sharp methods. After being forced to take 2 months off by his boss, who doesn't share his view on working methods, he goes back to Japan, where he used to work 19 years ago, to settle the probate of his girlfriend who left him shortly after marriage without a trace.",15300000,"['Canal+', 'TF1 Films Production', 'Tobis', 'Destiny', 'EuropaCorp', 'Victor Company of Japan (JVC)', 'Samitose Productions']",10366360,94,For those who take their action raw.,2001,10
5717,449563,Isn't It Romantic,2019-02-13,"['Comedy', 'Fantasy', 'Romance']",English,6.2,3295,16.534,"For a long time, Natalie, an Australian architect living in New York City, had always believed that what she had seen in rom-coms is all fantasy. But after thwarting a mugger at a subway station only to be knocked out while fleeing, Natalie wakes up and discovers that her life has suddenly become her worst nightmare—a romantic comedy—and she is the leading lady.",31000000,"['New Line Cinema', 'Bron Studios', 'Broken Road Productions', 'Camp Sugar', 'Creative Wealth Media Finance']",48800000,89,None of the Feels,2019,02
5720,11469,Black Knight,2001-11-21,"['Comedy', 'Fantasy', 'Adventure']",English,5.4,997,14.773,"Martin Lawrence plays Jamal, an employee in Medieval World amusement park. After nearly drowning in the moat, he awakens to find himself in 14th century England.",50000000,"['Epsilon Motion Pictures', 'Regency Enterprises', 'New Regency Pictures', 'Runteldat Entertainment', 'Firm, The', '20th Century Fox']",33422806,95,It's only a flesh wound!,2001,11
5724,11371,The Score,2001-07-13,"['Action', 'Crime', 'Thriller', 'Mystery']",English,6.7,1419,13.271,An aging thief hopes to retire and live off his ill-gotten wealth when a young kid convinces him into doing one last heist.,68000000,"['Horseshoe Bay Productions', 'Paramount', 'Mandalay Pictures', 'Lions Gate Films', 'StudioCanal', 'CP Medien AG', 'MP Film Management']",113579918,124,There are no partners in crime.,2001,07
5732,11232,Kate & Leopold,2001-12-25,"['Romance', 'Fantasy', 'Comedy']",English,6.3,1187,15.77,"When her scientist ex-boyfriend discovers a portal to travel through time -- and brings back a 19th-century nobleman named Leopold to prove it -- a skeptical Kate reluctantly takes responsibility for showing Leopold the 21st century. The more time Kate spends with Leopold, the harder she falls for him. But if he doesn't return to his own time, his absence will forever alter history.",48000000,"['Konrad Pictures', 'Miramax']",76019048,118,"If they lived in the same century, they'd be perfect for each other.",2001,12
5734,300673,The Finest Hours,2016-01-27,"['Action', 'Drama', 'History', 'Thriller']",English,6.6,1459,16.474,The Coast Guard makes a daring rescue attempt off the coast of Cape Cod after a pair of oil tankers are destroyed during a blizzard in 1952.,80000000,"['Red Hawk Entertainment', 'Walt Disney Pictures', 'Whitaker Entertainment', 'Bergsten Music']",52099090,117,"32 survivors, room for 12.",2016,01
5735,9396,Crocodile Dundee II,1988-05-19,"['Adventure', 'Comedy']",English,5.8,961,15.768,Australian outback expert protects his New York love from gangsters who've followed her down under.,14000000,['Paramount'],239606210,110,The world's favourite adventurer is back for more! much more!,1988,05
5737,79,Hero,2002-07-22,"['Drama', 'Adventure', 'Action', 'History']",Chinese,7.5,1950,18.519,One man defeated three assassins who sought to murder the most powerful warlord in pre-unified China.,31000000,"['Beijing New Picture Film Co. Ltd.', 'China Film Co-Production Corporation', 'Miramax']",177394432,99,One man's strength will unite an empire.,2002,07
5743,10156,History of the World: Part I,1981-06-12,['Comedy'],English,6.8,673,16.266,"An uproarious version of history that proves nothing is sacred – not even the Roman Empire, the French Revolution and the Spanish Inquisition.",11000000,"['Brooksfilms', '20th Century Fox']",31672907,92,"Ten million years in the making. The truth, the whole truth, and everything, but the truth!",1981,06
5744,635891,Clerks III,2022-09-04,['Comedy'],English,6.1,142,15.343,"After narrowly surviving a massive heart attack, Randal enlists his old friend Dante to help him make a movie immortalizing their youthful days at the little convenience store that started it all.",7000000,"['Lionsgate', 'View Askew Productions', 'BondIt Media Capital']",4717597,100,They're too old for this shift.,2022,09
5745,2567,The Aviator,2004-12-17,['Drama'],English,7.2,4755,19.017,"A biopic depicting the life of filmmaker and aviation pioneer Howard Hughes from 1927 to 1947, during which time he became a successful film producer and an aviation magnate, while simultaneously growing more unstable due to severe obsessive-compulsive disorder.",110000000,"['Miramax', 'Appian Way', 'Forward Pass', 'Cappa Productions', 'Initial Entertainment Group', 'IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG', ""Mel's Cite du Cinema"", 'Warner Bros. Pictures']",213700000,170,The way of the future,2004,12
5748,9870,Forgetting Sarah Marshall,2008-04-17,"['Comedy', 'Romance', 'Drama']",English,6.5,3025,20.017,"When Sarah Marshall dumps aspiring musician Peter Bretter for rock star Aldous Snow, Peter's world comes crashing down. His best friend suggests that Peter should get away from everything and to fly off to Hawaii to escape all his problems. After arriving in Hawaii and meeting the beautiful Rachel Jansen, Peter is shocked to see not only Aldous Snow in Hawaii, but also Sarah Marshall.",30000000,"['Universal Pictures', 'Apatow Productions']",105173115,111,"You lose some, you get some.",2008,04
5753,11439,The Ghost Writer,2010-02-12,"['Thriller', 'Mystery']",English,6.8,1957,15.016,A writer stumbles upon a long-hidden secret when he agrees to help former British Prime Minister Adam Lang complete his memoirs on a remote island after the politician's assistant drowns in a mysterious accident.,45000000,"['R.P. Productions', 'Studio Babelsberg', 'Runteam', 'France 2 Cinéma', 'Summit Entertainment', 'FFA', 'Medienboard Berlin-Brandenburg', 'FilmFörderung Hamburg', 'Mecklenburg Vorpommern', 'France Télévisions', 'Bogard', '321 Films', 'R.P. Films', 'Elfte Babelsberg Film GmbH', 'Runteam III Ltd.', 'Pathé', 'StudioCanal']",60331447,128,Read between the lies.,2010,02
5759,334524,Gold,2016-02-03,"['Adventure', 'Drama', 'Thriller']",English,6.6,1434,17.367,"Kenny Wells, a modern-day prospector, hustler, and dreamer, is desperate for a lucky break. Left with few options, Wells teams up with an equally luckless geologist to execute a grandiose, last-ditch effort: to find gold deep in the uncharted jungle of Indonesia.",20000000,"['Living Films', 'Black Bear Pictures', 'Boies/Schiller Film Group', 'Hwy61']",14880939,121,Prove 'em all wrong,2016,02
5762,599,Sunset Boulevard,1950-08-10,['Drama'],English,8.4,2207,14.261,A hack screenwriter writes a screenplay for a former silent film star who has faded into Hollywood obscurity.,1752000,['Paramount'],5000000,110,A Hollywood Story.,1950,08
5765,6023,P.S. I Love You,2007-11-15,"['Drama', 'Romance']",English,7.2,3053,18.512,A young widow discovers that her late husband has left her 10 messages intended to help ease her pain and start a new life.,30000000,"['Wendy Finerman Productions', 'Alcon Entertainment', 'Warner Bros. Pictures', 'Grosvenor Park Films LLP']",156835339,126,"His life ended. Now, a new one will begin.",2007,11
5766,10673,Wall Street,1987-12-10,"['Crime', 'Drama']",English,7.2,1781,17.759,"A young and impatient stockbroker is willing to do anything to get to the top, including trading on illegal inside information taken through a ruthless and greedy corporate raider whom takes the youth under his wing.",15000000,['20th Century Fox'],43848069,126,Every dream has a price.,1987,12
5767,295964,Burnt,2015-10-02,['Drama'],English,6.5,3033,17.765,"Adam Jones is a Chef who destroyed his career with drugs and diva behavior. He cleans up and returns to London, determined to redeem himself by spearheading a top restaurant that can gain three Michelin stars.",20000000,"['PeaPie Films', 'Double Feature Films', '3 Arts Entertainment']",36606743,100,Never underestimate a man with everything to lose.,2015,10
5768,11527,Excalibur,1981-04-10,"['Adventure', 'Fantasy']",English,7.0,841,16.008,"A surreal adaptation of Sir Thomas Malory's ""Le Morte d'Arthur"", chronicling Arthur Pendragon's conception, his rise to the throne, the search by his Knights of the Round Table for the Holy Grail, and ultimately his death.",11000000,"['Orion Pictures', 'Cinema 84']",34967437,140,Forged by a god. Foretold by a wizard. Found by a king.,1981,04
5771,500916,Primal,2019-12-27,['Action'],English,5.7,293,14.772,"A big-game hunter for zoos books passage on a Greek shipping freighter with a fresh haul of exotic and deadly animals from the Amazon, including a rare white Jaguar – along with a political assassin being extradited to the U.S in secret. Two days into the journey, the assassin escapes and releases the captive animals, throwing the ship into chaos.",9000000,"['Daniel Grodnik Productions', 'Wonderfilm Media', 'Imprint Entertainment', 'Artem Entertainment', 'Pimienta']",146863,97,The ultimate hunter vs the ultimate predator,2019,12
5774,10438,Beethoven's 2nd,1993-12-14,"['Family', 'Comedy']",English,5.5,866,15.756,"Beethoven is back -- and this time, he has a whole brood with him now that he's met his canine match, Missy, and fathered a family. The only problem is that Missy's owner, Regina, wants to sell the puppies and tear the clan apart. It's up to Beethoven and the Newton kids to save the day and keep everyone together.",15000000,"['Northern Lights Entertainment', 'Universal Pictures']",118243066,89,The Newton Family is going to the dogs...,1993,12
5775,9437,Kiss the Girls,1997-09-29,"['Thriller', 'Crime', 'Mystery', 'Drama']",English,6.5,1296,16.008,"Forensic psychologist Alex Cross travels to North Carolina and teams with escaped kidnap victim Kate McTiernan to hunt down ""Casanova,"" a serial killer who abducts strong-willed women and forces them to submit to his demands. The trail leads to Los Angeles, where the duo discovers that the psychopath may not be working alone.",27000000,"['Paramount', 'Rysher Entertainment']",60527873,115,Smart Girls. Pretty Girls. Missing Girls.,1997,09
5776,466081,The Informer,2019-08-30,"['Drama', 'Crime', 'Thriller']",English,6.5,687,19.219,"In New York, former convict Pete Koslow, related to the Polish mafia, must deal with both Klimek the General, his ruthless boss, and the twisted ambitions of two federal agents, as he tries to survive and protect the lives of his loved ones.",60000000,"['Thunder Road', 'The Fyzz', 'Maddem Films']",2927708,109,Choose your enemies wisely,2019,08
5778,11152,The Ruins,2008-04-02,['Horror'],English,5.9,1010,16.758,"Americans Amy, Stacy, Jeff and Eric look for fun during a sunny holiday in Mexico, but they get much more than that after visiting an archaeological dig in the jungle.",8000000,"['Spyglass Entertainment', 'Pacific Film and Television Commission', 'Internationale Filmproduktion Prometheus', 'Red Hour', 'DreamWorks Pictures', 'Paramount']",22818256,91,Terror has evolved.,2008,04
5779,70074,Bullet to the Head,2013-01-31,"['Action', 'Crime', 'Thriller']",English,5.6,1118,16.76,"After watching their respective partners die, a cop and a hitman form an alliance in order to bring down their common enemy.",55000000,"['Dark Castle Entertainment', 'After Dark Films', 'IM Global', 'Automatik Entertainment', 'Silver Reel', 'EMJAG Productions', 'Millar Gough Ink', 'Headshot Films']",9489829,92,Revenge Never Gets Old.,2013,01
