,id,title,release_date,genres,original_language,vote_average,vote_count,popularity,overview,budget,production_companies,revenue,runtime,tagline,release_year,release_month
1008,950,Ice Age: The Meltdown,2006-03-29,"['Animation', 'Family', 'Comedy', 'Adventure']",English,6.7,8855,43.52,"Diego, Manny and Sid return in this sequel to the hit animated movie Ice Age. This time around, the deep freeze is over, and the ice-covered earth is starting to melt, which will destroy the trio's cherished valley. The impending disaster prompts them to reunite and warn all the other beasts about the desperate situation.",80000000,"['20th Century Fox Animation', 'Blue Sky Studios', '20th Century Fox']",660998756,91,Kiss Your Nuts Goodbye,2006,03
1010,1374,Rocky IV,1985-11-21,['Drama'],English,7.1,3848,45.806,"Rocky Balboa proudly holds the world heavyweight boxing championship, but a new challenger has stepped forward: Drago, a six-foot-four, 261-pound fighter who has the backing of the Soviet Union.",31000000,"['Winkler Films', 'United Artists']",300473716,91,Get ready for the next world war.,1985,11
1011,10567,Dinosaur,2000-05-19,"['Family', 'Animation']",English,6.5,2221,49.704,An orphaned dinosaur raised by lemurs joins an arduous trek to a sancturary after a meteorite shower destroys his family home.,127500000,"['Walt Disney Pictures', 'Walt Disney Feature Animation']",354248063,82,You have never seen anything like this.,2000,05
1014,631843,Old,2021-07-21,"['Thriller', 'Mystery', 'Horror']",English,6.4,3576,48.162,A group of families on a tropical holiday discover that the secluded beach where they are staying is somehow causing them to age rapidly – reducing their entire lives into a single day.,18000000,"['Universal Pictures', 'Blinding Edge Pictures', 'Perfect World Pictures', 'dentsu']",90146510,108,It's only a matter of time.,2021,07
1016,760926,Gold,2022-01-13,"['Action', 'Adventure', 'Thriller']",English,6.3,468,40.81,"In the not-too-distant future, two drifters traveling through the desert stumble across the biggest gold nugget ever found and the dream of immense wealth and greed takes hold. They hatch a plan to excavate their bounty, with one man leaving to secure the necessary tools while the other remains with the gold. The man who remains must endure harsh desert elements, ravenous wild dogs, and mysterious intruders, while battling the sinking suspicion that he has been abandoned to his fate.",6500000,"['Deeper Water', 'Rogue Star Productions', 'Screen Australia', 'Stan Australia', 'South Australian Film Corporation']",176048,97,Survive at any cost,2022,01
1019,11036,The Notebook,2004-06-25,"['Romance', 'Drama']",English,7.9,10307,55.892,"An epic love story centered around an older man who reads aloud to a woman with Alzheimer's. From a faded notebook, the old man's words bring to life the story about a couple who is separated by World War II, and is then passionately reunited, seven years later, after they have taken different paths.",29000000,"['New Line Cinema', 'Avery Pix', 'Gran Via Productions']",115603229,123,Behind every great love is a great story.,2004,06
1020,458305,Vivarium,2019-09-07,"['Science Fiction', 'Thriller', 'Mystery', 'Horror']",English,6.1,1661,32.946,"A young woman and her fiancé are in search of the perfect starter home. After following a mysterious real estate agent to a new housing development, the couple finds themselves trapped in a maze of identical houses and forced to raise an otherworldly child.",3947600,"['Fantastic Films', 'Frakas Productions', 'Lovely Productions', 'XYZ Films', 'PingPongFilm', 'Saban Films']",487625,97,You're home. Forever.,2019,09
1024,10009,Brother Bear,2003-10-23,"['Adventure', 'Animation', 'Family']",English,7.3,4866,49.043,"When an impulsive boy named Kenai is magically transformed into a bear, he must literally walk in another's footsteps until he learns some valuable life lessons. His courageous and often zany journey introduces him to a forest full of wildlife, including the lovable bear cub Koda, hilarious moose Rutt and Tuke, woolly mammoths and rambunctious rams.",128000000,['Walt Disney Feature Animation'],250397798,85,Nature Calls,2003,10
1028,16869,Inglourious Basterds,2009-08-19,"['Drama', 'Thriller', 'War']",English,8.2,20141,49.227,"In Nazi-occupied France during World War II, a group of Jewish-American soldiers known as ""The Basterds"" are chosen specifically to spread fear throughout the Third Reich by scalping and brutally killing Nazis. The Basterds, lead by Lt. Aldo Raine soon cross paths with a French-Jewish teenage girl who runs a movie theater in Paris which is targeted by the soldiers.",70000000,"['The Weinstein Company', 'Universal Pictures', 'A Band Apart', 'Zehnte Babelsberg Film', 'Visiona Romantica', 'Peninsula Films']",321457747,153,Once upon a time in Nazi occupied France...,2009,08
1030,13275,Annapolis,2006-01-27,"['Drama', 'Action']",English,6.7,418,46.624,"Jake Huard, from a shipbuilders family, promised his dying mother he'ld make it to Anapolis Naval Academy. Thanks to tenaciously bugging a Congressman, he's selected despite dubious grades. Once inside, Jake soon proves sub-standard academically. Constantly challenged to his limits, repeatedly made the 'over-cocky' reason for the entire class to suffer, Jake nearly quits, but after facing his utterly un-supportive father's gloating returns just in time. Stubborn Jake finds support withs mates as well as Senor Ali, his lover-to-be, and a discipline he may excel in: the 'brigade' boxing tournament, open to all ranks.",26000000,['Touchstone Pictures'],17496992,108,"50,000 Apply. 1,200 Are Accepted. Only The Best Survive",2006,01
1032,13053,Bolt,2008-11-21,"['Animation', 'Family', 'Adventure', 'Comedy']",English,6.5,5404,41.368,"Bolt is the star of the biggest show in Hollywood. The only problem is, he thinks it's real. After he's accidentally shipped to New York City and separated from Penny, his beloved co-star and owner, Bolt must harness all his ""super powers"" to find a way home.",150000000,"['Walt Disney Animation Studios', 'Walt Disney Pictures']",309979994,98,Fully Awesome. Ridonculous. Let It Begin.,2008,11
1036,6479,I Am Legend,2007-12-12,"['Drama', 'Science Fiction', 'Thriller']",English,7.2,14301,45.785,"Robert Neville is a scientist who was unable to stop the spread of the terrible virus that was incurable and man-made. Immune, Neville is now the last human survivor in what is left of New York City and perhaps the world. For three years, Neville has faithfully sent out daily radio messages, desperate to find any other survivors who might be out there. But he is not alone.",150000000,"['Village Roadshow Pictures', 'Weed Road Pictures', 'Original Film', 'Warner Bros. Pictures', 'Heyday Films', 'Overbrook Entertainment']",585410052,101,The last man on Earth is not alone,2007,12
1039,147441,Exodus: Gods and Kings,2014-12-03,"['Adventure', 'Drama', 'Action']",English,5.8,4152,50.936,"The defiant leader Moses rises up against the Egyptian Pharaoh Ramses, setting 400,000 slaves on a monumental journey of escape from Egypt and its terrifying cycle of deadly plagues.",140000000,"['Volcano Films', 'Chernin Entertainment', 'Scott Free Productions', 'Babieka Films']",268031828,150,"Once brothers, now enemies.",2014,12
1042,272,Batman Begins,2005-06-10,"['Action', 'Crime', 'Drama']",English,7.7,18989,43.473,"Driven by tragedy, billionaire Bruce Wayne dedicates his life to uncovering and defeating the corruption that plagues his home, Gotham City.  Unable to work within the system, he instead creates a new identity, a symbol of fear for the criminal underworld - The Batman.",150000000,"['Warner Bros. Pictures', 'DC Comics', 'Syncopy', 'Legendary Pictures', 'Patalex III Productions Limited']",374218673,140,Evil fears the knight.,2005,06
1044,30943,The Deep End of the Ocean,1999-03-12,"['Drama', 'Mystery']",English,6.4,296,47.621,"Michelle Pfeiffer is ferocious in the role of a desperate mother whose 3-year-old son disappears during her high school reunion. Nine years later, by chance, he turns up in the town in which the family has just relocated. Based on Jacquelyn Mitchard's best-selling novel (an Oprah book club selection), the movie effectively presents the troubling dynamics that exist between family members who've suffered such an unsettling loss.",38000000,"['Mandalay Entertainment', 'Columbia Pictures', 'Via Rosa Productions']",28121100,106,The search for her son was over. The search for her family was just beginning.,1999,03
1048,109439,The Hangover Part III,2013-05-23,['Comedy'],English,6.2,7884,46.736,"This time, there's no wedding. No bachelor party. What could go wrong, right? But when the Wolfpack hits the road, all bets are off.",103000000,"['Green Hat Films', 'Legendary Pictures', 'BenderSpink']",362000072,100,It all ends.,2013,05
1050,577922,Tenet,2020-08-22,"['Action', 'Thriller', 'Science Fiction']",English,7.2,8262,56.795,"Armed with only one word - Tenet - and fighting for the survival of the entire world, the Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.",205000000,"['Warner Bros. Pictures', 'Syncopy']",365304105,150,Time runs out.,2020,08
1051,758336,Love Again,2023-05-04,"['Romance', 'Drama', 'Comedy']",English,7.3,3,52.16,"Mira Ray, dealing with the loss of her fiancé, sends a series of romantic texts to his old cell phone number… not realizing the number was reassigned to Rob Burns' new work phone. A journalist, Rob is captivated by the honesty in the beautifully confessional texts. When he’s assigned to write a profile of megastar Céline Dion, he enlists her help in figuring out how to meet Mira in person and win her heart.",9000000,"['Screen Gems', 'Thunder Road', '2.0 Entertainment']",2400000,104,Destiny has a plan.,2023,05
1052,615,The Passion of the Christ,2004-02-25,['Drama'],English,7.5,3882,54.324,A graphic portrayal of the last twelve hours of Jesus of Nazareth's life.,30000000,['Icon Productions'],611899420,127,"By his wounds, we were healed.",2004,02
